clip_idx,file,start,window,model_type,model_label,trial_name,stage,batch_size,code_num,best_val_loss,tokens,mse_all,mae_all,trans_rmse,trans_mae,rot_geod_deg_mean,rot_geod_deg_p95,root_geod_deg_mean,bodyhands_geod_deg_mean,pose_axisangle_mse,betas_mae,trans_vel_rmse,mpjpe_mm,mpjpe_pa_mm
1,doMosV-zfCI_22-2-rgb_front.pkl,38,64,trial,ENC-DEC T1: bs4096 c1536,codebook_sweep_bs4096_code1536,codebook_sweep,4096.0,1536.0,0.2617357671260834,16,0.023723142221570015,0.07551422715187073,0.0016427814261987805,0.001274817273952067,8.99612045288086,31.685609817504883,3.947615623474121,9.095109939575195,0.019267460331320763,0.18574738502502441,0.00033733321470208466,42.85906219482422,42.310482025146484
2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,64,trial,ENC-DEC T1: bs4096 c1536,codebook_sweep_bs4096_code1536,codebook_sweep,4096.0,1536.0,0.2617357671260834,16,0.020217303186655045,0.06856922805309296,0.0015120923053473234,0.0011730853002518415,8.571125984191895,30.099031448364258,8.47285270690918,8.573053359985352,0.01864171400666237,0.13436491787433624,0.00039445009315386415,55.04106521606445,54.94477844238281
3,23YW07EXh34_6-5-rgb_front.pkl,28,64,trial,ENC-DEC T1: bs4096 c1536,codebook_sweep_bs4096_code1536,codebook_sweep,4096.0,1536.0,0.2617357671260834,16,0.01907254382967949,0.06262964010238647,0.0012951685348525643,0.001024596276693046,8.21012020111084,32.463287353515625,2.3946287631988525,8.324150085449219,0.01990405097603798,0.07125262916088104,0.0002819971414282918,27.661012649536133,27.43044662475586
4,F0CLgejV5_k_0-5-rgb_front.pkl,14,64,trial,ENC-DEC T1: bs4096 c1536,codebook_sweep_bs4096_code1536,codebook_sweep,4096.0,1536.0,0.2617357671260834,16,0.016092851758003235,0.07054264843463898,0.00226697139441967,0.001689368742518127,8.647139549255371,26.941909790039062,4.918147087097168,8.720256805419922,0.015768229961395264,0.11695091426372528,0.0005372653249651194,34.4386100769043,34.803871154785156
5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,64,trial,ENC-DEC T1: bs4096 c1536,codebook_sweep_bs4096_code1536,codebook_sweep,4096.0,1536.0,0.2617357671260834,16,0.012128567323088646,0.05612022429704666,0.0009573744027875364,0.0007339560543186963,7.0821051597595215,24.234695434570312,3.1870718002319336,7.158479690551758,0.012471073307096958,0.07007161527872086,0.00021595272119157016,26.08218002319336,25.800199508666992
1,doMosV-zfCI_22-2-rgb_front.pkl,38,64,trial,ENC-DEC T2: bs4096 c1024,codebook_sweep_bs4096_code1024,codebook_sweep,4096.0,1024.0,0.2684747874736786,16,0.02433483675122261,0.07832729071378708,0.001603948650881648,0.0012343121925368905,9.271845817565918,29.894750595092773,4.5221710205078125,9.36497688293457,0.019678641110658646,0.18820443749427795,0.0003469286602921784,42.81675338745117,42.46857452392578
2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,64,trial,ENC-DEC T2: bs4096 c1024,codebook_sweep_bs4096_code1024,codebook_sweep,4096.0,1024.0,0.2684747874736786,16,0.018561670556664467,0.06679870933294296,0.0014138179831206799,0.0010705373715609312,8.753249168395996,30.368947982788086,3.1663095951080322,8.862796783447266,0.01954774744808674,0.06823351234197617,0.0003949559759348631,33.734832763671875,33.63142395019531
3,23YW07EXh34_6-5-rgb_front.pkl,28,64,trial,ENC-DEC T2: bs4096 c1024,codebook_sweep_bs4096_code1024,codebook_sweep,4096.0,1024.0,0.2684747874736786,16,0.02206231839954853,0.069849893450737,0.001271679881028831,0.0010127276182174683,8.95058822631836,35.74435806274414,2.1672370433807373,9.083595275878906,0.022510884329676628,0.10649542510509491,0.0002801124064717442,25.14839744567871,24.864925384521484
4,F0CLgejV5_k_0-5-rgb_front.pkl,14,64,trial,ENC-DEC T2: bs4096 c1024,codebook_sweep_bs4096_code1024,codebook_sweep,4096.0,1024.0,0.2684747874736786,16,0.01910114660859108,0.07175174355506897,0.00228687422350049,0.0017117614625021815,8.65057373046875,27.00931739807129,2.4383435249328613,8.772381782531738,0.016506148502230644,0.16546908020973206,0.0005352519801817834,34.7585563659668,32.05036163330078
5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,64,trial,ENC-DEC T2: bs4096 c1024,codebook_sweep_bs4096_code1024,codebook_sweep,4096.0,1024.0,0.2684747874736786,16,0.01316457986831665,0.058195993304252625,0.0010023295180872083,0.0007660386036150157,7.4498090744018555,27.124752044677734,3.685678005218506,7.52361536026001,0.013723179697990417,0.06148828938603401,0.00021564122289419174,27.27546501159668,27.116174697875977
1,doMosV-zfCI_22-2-rgb_front.pkl,38,64,trial,ENC-DEC T3: bs4096 c768,codebook_sweep_bs4096_code768,codebook_sweep,4096.0,768.0,0.2737764418125152,16,0.027412451803684235,0.08224108815193176,0.0016598469810560346,0.0012912544189020991,9.681939125061035,29.780548095703125,7.385547637939453,9.72696590423584,0.020114894956350327,0.20464475452899933,0.00033971306402236223,52.478763580322266,52.04704666137695
2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,64,trial,ENC-DEC T3: bs4096 c768,codebook_sweep_bs4096_code768,codebook_sweep,4096.0,768.0,0.2737764418125152,16,0.020001860335469246,0.06864484399557114,0.0014101752312853932,0.001065170974470675,9.00899600982666,30.996788024902344,4.842024326324463,9.090702056884766,0.020962480455636978,0.07405965775251389,0.0003896919370163232,38.53916931152344,38.5234375
3,23YW07EXh34_6-5-rgb_front.pkl,28,64,trial,ENC-DEC T3: bs4096 c768,codebook_sweep_bs4096_code768,codebook_sweep,4096.0,768.0,0.2737764418125152,16,0.020186221227049828,0.0664249137043953,0.0012531863758340478,0.0009799535619094968,8.649791717529297,36.16675567626953,2.199624538421631,8.776265144348145,0.021156368777155876,0.0781993642449379,0.00028511759592220187,29.650236129760742,29.37505340576172
4,F0CLgejV5_k_0-5-rgb_front.pkl,14,64,trial,ENC-DEC T3: bs4096 c768,codebook_sweep_bs4096_code768,codebook_sweep,4096.0,768.0,0.2737764418125152,16,0.025273246690630913,0.08272121101617813,0.0024280508514493704,0.001813205424696207,9.60036563873291,32.03340530395508,3.2924773693084717,9.724050521850586,0.02033134177327156,0.2010631561279297,0.0005367595003917813,37.36758041381836,35.437625885009766
5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,64,trial,ENC-DEC T3: bs4096 c768,codebook_sweep_bs4096_code768,codebook_sweep,4096.0,768.0,0.2737764418125152,16,0.01326180063188076,0.0587843656539917,0.0009843697771430016,0.0007782524335198104,7.428965091705322,25.789199829101562,3.7729721069335938,7.500650882720947,0.013554181903600693,0.07930198311805725,0.00021840305998921394,32.32334518432617,32.04054260253906
1,doMosV-zfCI_22-2-rgb_front.pkl,38,64,trial,ENC-DEC T4: bs4096 c512,batch_sweep_bs4096_code512,batch_sweep,4096.0,512.0,0.2785678505897522,16,0.024462714791297913,0.07661379873752594,0.001630506245419383,0.0012783441925421357,9.095340728759766,32.42112731933594,5.143256187438965,9.172832489013672,0.019561873748898506,0.1883750557899475,0.00034262341796420515,41.777645111083984,41.295658111572266
2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,64,trial,ENC-DEC T4: bs4096 c512,batch_sweep_bs4096_code512,batch_sweep,4096.0,512.0,0.2785678505897522,16,0.022520696744322777,0.07229636609554291,0.001453917589969933,0.0011247961083427072,9.298989295959473,31.21035385131836,4.740719795227051,9.388365745544434,0.022888561710715294,0.11166004091501236,0.00039271253626793623,39.30622863769531,39.2913703918457
3,23YW07EXh34_6-5-rgb_front.pkl,28,64,trial,ENC-DEC T4: bs4096 c512,batch_sweep_bs4096_code512,batch_sweep,4096.0,512.0,0.2785678505897522,16,0.02579154074192047,0.07378828525543213,0.0012824339792132378,0.0009981193579733372,8.972235679626465,36.25709915161133,2.7369651794433594,9.094496726989746,0.024422798305749893,0.1691388338804245,0.0002994955575559288,27.19337272644043,26.638887405395508
4,F0CLgejV5_k_0-5-rgb_front.pkl,14,64,trial,ENC-DEC T4: bs4096 c512,batch_sweep_bs4096_code512,batch_sweep,4096.0,512.0,0.2785678505897522,16,0.02205538935959339,0.08016201108694077,0.0024171401746571064,0.0017957426607608795,9.843610763549805,31.744827270507812,3.7883284091949463,9.96234130859375,0.0215523112565279,0.13483448326587677,0.0005314993904903531,38.471221923828125,37.092647552490234
5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,64,trial,ENC-DEC T4: bs4096 c512,batch_sweep_bs4096_code512,batch_sweep,4096.0,512.0,0.2785678505897522,16,0.013272079639136791,0.05795874819159508,0.000955245632212609,0.0007217737729661167,7.4507598876953125,26.489192962646484,4.141180038452148,7.515653610229492,0.013943567872047424,0.062071871012449265,0.00022739471751265228,33.24864196777344,33.02558517456055
1,doMosV-zfCI_22-2-rgb_front.pkl,38,64,trial,ENC-DEC T5: bs4096 c512,codebook_sweep_bs4096_code512,codebook_sweep,4096.0,512.0,0.2791029810905456,16,0.02570527046918869,0.08289680629968643,0.0017857224447652698,0.0013975035399198532,9.584060668945312,31.05716896057129,3.104011058807373,9.71112060546875,0.020313113927841187,0.2260802537202835,0.00035205140011385083,46.29182434082031,45.58075714111328
2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,64,trial,ENC-DEC T5: bs4096 c512,codebook_sweep_bs4096_code512,codebook_sweep,4096.0,512.0,0.2791029810905456,16,0.02160351164638996,0.0717817172408104,0.0015444160671904683,0.0011666897917166352,9.16006088256836,31.041580200195312,2.9784793853759766,9.281268119812012,0.021774305030703545,0.11570260673761368,0.000386256433557719,36.451114654541016,36.39874267578125
3,23YW07EXh34_6-5-rgb_front.pkl,28,64,trial,ENC-DEC T5: bs4096 c512,codebook_sweep_bs4096_code512,codebook_sweep,4096.0,512.0,0.2791029810905456,16,0.017476454377174377,0.062392015010118484,0.001307089114561677,0.0010265737073495984,8.002748489379883,29.99983024597168,2.0659396648406982,8.119155883789062,0.017993498593568802,0.0796516165137291,0.00028314150404185057,24.353979110717773,24.084426879882812
4,F0CLgejV5_k_0-5-rgb_front.pkl,14,64,trial,ENC-DEC T5: bs4096 c512,codebook_sweep_bs4096_code512,codebook_sweep,4096.0,512.0,0.2791029810905456,16,0.022124547511339188,0.08075330406427383,0.002440763171762228,0.0018393691862002015,10.0611572265625,31.618810653686523,4.725214004516602,10.165783882141113,0.022047311067581177,0.11517713218927383,0.0005440667737275362,37.444068908691406,37.4674186706543
5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,64,trial,ENC-DEC T5: bs4096 c512,codebook_sweep_bs4096_code512,codebook_sweep,4096.0,512.0,0.2791029810905456,16,0.013576447032392025,0.05872945487499237,0.0010322146117687225,0.000765407457947731,7.6018147468566895,25.796550750732422,3.9815914630889893,7.672800064086914,0.014221010729670525,0.057281993329524994,0.00023233021784108132,30.366783142089844,30.145536422729492
1,doMosV-zfCI_22-2-rgb_front.pkl,38,64,trial,ENC-DEC T6: bs3072 c512,batch_sweep_bs3072_code512,batch_sweep,3072.0,512.0,0.2798714637756347,16,0.02374168299138546,0.0787985548377037,0.0017191838705912232,0.0013270351337268949,9.579537391662598,31.99753761291504,3.471952199935913,9.69929313659668,0.020884128287434578,0.1654825657606125,0.00034266276634298265,43.931678771972656,43.22108840942383
2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,64,trial,ENC-DEC T6: bs3072 c512,batch_sweep_bs3072_code512,batch_sweep,3072.0,512.0,0.2798714637756347,16,0.025730598717927933,0.07852602005004883,0.0015121366595849395,0.0011477206135168672,9.812490463256836,33.13587188720703,8.723392486572266,9.833845138549805,0.02354254573583603,0.17011505365371704,0.00039050341001711786,66.50474548339844,66.32649993896484
3,23YW07EXh34_6-5-rgb_front.pkl,28,64,trial,ENC-DEC T6: bs3072 c512,batch_sweep_bs3072_code512,batch_sweep,3072.0,512.0,0.2798714637756347,16,0.023526636883616447,0.06897134333848953,0.0013437605230137706,0.001082790200598538,8.758785247802734,33.29130554199219,1.9199354648590088,8.892879486083984,0.023819223046302795,0.1071784645318985,0.0002879671228583902,21.717941284179688,21.250120162963867
4,F0CLgejV5_k_0-5-rgb_front.pkl,14,64,trial,ENC-DEC T6: bs3072 c512,batch_sweep_bs3072_code512,batch_sweep,3072.0,512.0,0.2798714637756347,16,0.018413366749882698,0.07263413816690445,0.0023382215294986963,0.001757259014993906,9.004912376403809,29.75213050842285,3.9872190952301025,9.103299140930176,0.018164606764912605,0.10343806445598602,0.0005324243102222681,36.6728630065918,35.84492492675781
5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,64,trial,ENC-DEC T6: bs3072 c512,batch_sweep_bs3072_code512,batch_sweep,3072.0,512.0,0.2798714637756347,16,0.013979863375425339,0.060858044773340225,0.0010307426564395428,0.0007832236588001251,7.696840763092041,26.88919448852539,4.130590438842773,7.766767501831055,0.014313440769910812,0.08165352046489716,0.00023486363352276385,34.36348342895508,33.994110107421875
1,doMosV-zfCI_22-2-rgb_front.pkl,38,64,trial,ENC-DEC T7: bs2048 c512,batch_sweep_bs2048_code512,batch_sweep,2048.0,512.0,0.2803815305233001,16,0.027017397806048393,0.08200753480195999,0.0017792436992749572,0.0014243070036172867,9.680639266967773,33.169517517089844,3.4717464447021484,9.802382469177246,0.021803008392453194,0.20711953938007355,0.00034218979999423027,36.95448684692383,36.30763626098633
2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,64,trial,ENC-DEC T7: bs2048 c512,batch_sweep_bs2048_code512,batch_sweep,2048.0,512.0,0.2803815305233001,16,0.021072782576084137,0.07131091505289078,0.0014674122212454677,0.0010851413244381547,9.19003963470459,30.95262908935547,3.55519437789917,9.30052661895752,0.02150760218501091,0.10391449928283691,0.0003813635266851634,39.48307800292969,39.46470642089844
3,23YW07EXh34_6-5-rgb_front.pkl,28,64,trial,ENC-DEC T7: bs2048 c512,batch_sweep_bs2048_code512,batch_sweep,2048.0,512.0,0.2803815305233001,16,0.022743666544556618,0.06607721745967865,0.0014492823975160718,0.0011241954052820802,8.775498390197754,33.69353103637695,2.29160737991333,8.902633666992188,0.023997727781534195,0.06755544990301132,0.00030057504773139954,23.265384674072266,22.74549102783203
4,F0CLgejV5_k_0-5-rgb_front.pkl,14,64,trial,ENC-DEC T7: bs2048 c512,batch_sweep_bs2048_code512,batch_sweep,2048.0,512.0,0.2803815305233001,16,0.020505240187048912,0.07706865668296814,0.002146619837731123,0.0016180076636373997,9.63446044921875,29.645614624023438,4.897960662841797,9.727333068847656,0.020439429208636284,0.11458520591259003,0.0005328944534994662,36.89861297607422,36.53532409667969
5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,64,trial,ENC-DEC T7: bs2048 c512,batch_sweep_bs2048_code512,batch_sweep,2048.0,512.0,0.2803815305233001,16,0.015069786459207535,0.06180533394217491,0.0010366071946918964,0.0007448683609254658,7.959029197692871,28.180498123168945,3.740037202835083,8.041753768920898,0.015699509531259537,0.06293094903230667,0.00023272656835615635,29.209596633911133,29.00634002685547
1,doMosV-zfCI_22-2-rgb_front.pkl,38,64,trial,ENC-DEC T8: bs1024 c512,batch_sweep_bs1024_code512,batch_sweep,1024.0,512.0,0.2813961907886247,16,0.027456361800432205,0.08381975442171097,0.0016773141687735915,0.001325275399722159,9.776348114013672,29.393665313720703,3.460489273071289,9.900187492370605,0.021182749420404434,0.21567359566688538,0.0003366504388395697,38.320770263671875,37.684932708740234
2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,64,trial,ENC-DEC T8: bs1024 c512,batch_sweep_bs1024_code512,batch_sweep,1024.0,512.0,0.2813961907886247,16,0.023815397173166275,0.0739578977227211,0.0016054088482633233,0.0012377066304907203,9.644712448120117,31.503185272216797,5.724640846252441,9.721575736999512,0.02415798231959343,0.10481800884008408,0.0003948482044506818,46.12272644042969,46.12128829956055
3,23YW07EXh34_6-5-rgb_front.pkl,28,64,trial,ENC-DEC T8: bs1024 c512,batch_sweep_bs1024_code512,batch_sweep,1024.0,512.0,0.2813961907886247,16,0.022810889407992363,0.07121945172548294,0.001279297866858542,0.000988180749118328,8.75805377960205,33.49729919433594,3.3323068618774414,8.86444091796875,0.022022899240255356,0.1462230682373047,0.0002868853625841439,34.48844528198242,34.17497634887695
4,F0CLgejV5_k_0-5-rgb_front.pkl,14,64,trial,ENC-DEC T8: bs1024 c512,batch_sweep_bs1024_code512,batch_sweep,1024.0,512.0,0.2813961907886247,16,0.019948195666074753,0.07523659616708755,0.0023349199909716845,0.0017239521257579327,9.236249923706055,30.219587326049805,3.68809175491333,9.345036506652832,0.018871527165174484,0.13372159004211426,0.000532155332621187,33.004825592041016,32.48745346069336
5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,64,trial,ENC-DEC T8: bs1024 c512,batch_sweep_bs1024_code512,batch_sweep,1024.0,512.0,0.2813961907886247,16,0.014190185815095901,0.059619463980197906,0.0009854960953816772,0.0007151965983211994,7.505660057067871,24.665382385253906,3.981523036956787,7.574760437011719,0.014438112266361713,0.08508278429508209,0.0002299641928402707,31.704370498657227,31.422029495239258
1,doMosV-zfCI_22-2-rgb_front.pkl,38,64,trial,ENC-DEC T9: bs5120 c512,batch_sweep_bs5120_code512,batch_sweep,5120.0,512.0,0.2848633825778961,16,0.03343904763460159,0.08376192301511765,0.0016712099313735962,0.0013377306750044227,10.007265090942383,35.30996322631836,5.236309051513672,10.100814819335938,0.028556013479828835,0.18697836995124817,0.0003431338700465858,43.83827209472656,43.47675704956055
2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,64,trial,ENC-DEC T9: bs5120 c512,batch_sweep_bs5120_code512,batch_sweep,5120.0,512.0,0.2848633825778961,16,0.023920223116874695,0.07210049778223038,0.0013839385937899351,0.0010368234943598509,9.394627571105957,33.094940185546875,4.384199142456055,9.492871284484863,0.024789398536086082,0.09609433263540268,0.00039264350198209286,39.131446838378906,39.067527770996094
3,23YW07EXh34_6-5-rgb_front.pkl,28,64,trial,ENC-DEC T9: bs5120 c512,batch_sweep_bs5120_code512,batch_sweep,5120.0,512.0,0.2848633825778961,16,0.0234474278986454,0.07233584672212601,0.0012556060682982206,0.0009802280692383647,8.878662109375,34.94707107543945,3.0829310417175293,8.992303848266602,0.022128654643893242,0.15674719214439392,0.0002844386617653072,31.29116439819336,30.645870208740234
4,F0CLgejV5_k_0-5-rgb_front.pkl,14,64,trial,ENC-DEC T9: bs5120 c512,batch_sweep_bs5120_code512,batch_sweep,5120.0,512.0,0.2848633825778961,16,0.026613686233758926,0.08432626724243164,0.002297641010954976,0.0017379681812599301,9.991461753845215,31.37659454345703,3.8623218536376953,10.111640930175781,0.0221560001373291,0.19814419746398926,0.0005434214253909886,35.27554702758789,34.50190734863281
5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,64,trial,ENC-DEC T9: bs5120 c512,batch_sweep_bs5120_code512,batch_sweep,5120.0,512.0,0.2848633825778961,16,0.013940819539129734,0.058635611087083817,0.0009742674301378429,0.0007179798558354378,7.546213150024414,26.266664505004883,4.125434398651123,7.613287448883057,0.014606726355850697,0.05145919322967529,0.00022281492420006543,29.267776489257812,28.979398727416992
1,doMosV-zfCI_22-2-rgb_front.pkl,38,64,trial,ENC-DEC T10: bs4096 c256,codebook_sweep_bs4096_code256,codebook_sweep,4096.0,256.0,0.2940890491008758,16,0.02752455323934555,0.08117171376943588,0.0018451299984008074,0.0014237858122214675,9.799551963806152,30.399084091186523,6.349113941192627,9.867207527160645,0.022160634398460388,0.18243077397346497,0.0003427939664106816,49.41234588623047,49.023521423339844
2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,64,trial,ENC-DEC T10: bs4096 c256,codebook_sweep_bs4096_code256,codebook_sweep,4096.0,256.0,0.2940890491008758,16,0.02111085318028927,0.07065951079130173,0.0014995031524449587,0.0011708680540323257,9.204827308654785,32.47178649902344,5.365687847137451,9.28010368347168,0.02155613899230957,0.09481330215930939,0.00039004581049084663,47.43798065185547,47.37725067138672
3,23YW07EXh34_6-5-rgb_front.pkl,28,64,trial,ENC-DEC T10: bs4096 c256,codebook_sweep_bs4096_code256,codebook_sweep,4096.0,256.0,0.2940890491008758,16,0.023101165890693665,0.06905907392501831,0.001390867168083787,0.0011111561907455325,8.998305320739746,36.67099380493164,2.155895233154297,9.13247013092041,0.023760441690683365,0.09112201631069183,0.00030438517569564283,22.974210739135742,22.663293838500977
4,F0CLgejV5_k_0-5-rgb_front.pkl,14,64,trial,ENC-DEC T10: bs4096 c256,codebook_sweep_bs4096_code256,codebook_sweep,4096.0,256.0,0.2940890491008758,16,0.018568841740489006,0.07426758855581284,0.0022643201518803835,0.001699399552308023,9.044736862182617,27.832347869873047,4.022660255432129,9.143209457397461,0.01739642210304737,0.14354275166988373,0.0005438663647510111,37.29677200317383,36.29848098754883
5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,64,trial,ENC-DEC T10: bs4096 c256,codebook_sweep_bs4096_code256,codebook_sweep,4096.0,256.0,0.2940890491008758,16,0.015935175120830536,0.06355281919240952,0.0010423180647194386,0.0007826268556527793,8.05765151977539,28.71915626525879,3.7775769233703613,8.141573905944824,0.01612502709031105,0.08233624696731567,0.00023441552184522152,28.8187313079834,28.649343490600586
